Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-3.697E-17,3.1321E-17,0.019673,0,0,0,7.5962,0.036506,6.3549E-19,-6.2655E-19,0.036506,-8.1867E-20,0.070924,0,0,0,0,0,0,package://arbot_betav1/meshes/base_link.STL,0.65098,0.61961,0.58824,1,0,0,0,0,0,0,package://arbot_betav1/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L1,0.0176,-5.4084E-18,0.10447,0,0,0,2.2189,0.019403,8.4131E-20,-0.002034,0.019069,1.5898E-18,0.0041182,0,0,0,0,0,0,package://arbot_betav1/meshes/L1.STL,1,1,1,1,0,0,0,0,0,0,package://arbot_betav1/meshes/L1.STL,,link1-2,Origin_J1,Axis_J1,J1,revolute,0,0,0,0,0,-1.5708,base_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
L2,0.1585,2.7756E-17,-0.029635,0,0,0,2.3173,0.0022368,-4.6951E-18,-8.4232E-19,0.035844,-6.7421E-20,0.037278,0,0,0,0,0,0,package://arbot_betav1/meshes/L2.STL,1,1,1,1,0,0,0,0,0,0,package://arbot_betav1/meshes/L2.STL,,link2-1,Origin_J2,Axis_J2,J2,revolute,0,0,0.227,1.5708,0,1.5708,L1,0,0,1,0,0,-3.14,3.14,,,,,,,,
L3,0.1715,-2.7756E-17,0.029854,0,0,0,2.4443,0.0023603,9.1581E-18,1.4294E-18,0.042834,8.4051E-20,0.044363,0,0,0,0,0,0,package://arbot_betav1/meshes/L3.STL,1,1,1,1,0,0,0,0,0,0,package://arbot_betav1/meshes/L3.STL,,link3-1,Origin_J3,Axis_J3,J3,revolute,0.317,0,0,0,0,-0.014038,L2,0,0,1,0,0,-3.14,3.14,,,,,,,,
L4,0.032157,-0.00050545,-0.02597,0,0,0,0.95515,0.00085086,4.9323E-09,-6.7978E-05,0.0024161,-5.4018E-10,0.0028884,0,0,0,0,0,0,package://arbot_betav1/meshes/L4.STL,1,1,1,1,0,0,0,0,0,0,package://arbot_betav1/meshes/L4.STL,,link4-1,Origin_J4,Axis_J4,J4,revolute,0.343,0.00050536,0,0,0,0.014038,L3,0,0,1,0,0,-3.14,3.14,,,,,,,,
