Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-3.697E-17,3.2985E-17,0.019673,0,0,0,7.5962,0.036506,6.3549E-19,-6.2655E-19,0.036506,-8.1867E-20,0.070924,0,0,0,0,0,0,package://arbot_v1_Beta/meshes/base_link.STL,0.65098,0.61961,0.58824,1,0,0,0,0,0,0,package://arbot_v1_Beta/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L1,0.0176,-5.4084E-18,0.10447,0,0,0,2.2189,0.019403,8.9009E-20,-0.002034,0.019069,1.5934E-18,0.0041182,0,0,0,0,0,0,package://arbot_v1_Beta/meshes/L1.STL,1,1,1,1,0,0,0,0,0,0,package://arbot_v1_Beta/meshes/L1.STL,,link1-2,Origin_J1,Axis_J1,J1,revolute,0,0,0,0,0,-1.5708,base_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
L2,0.1765,2.7756E-17,-0.029933,0,0,0,2.4932,0.0024078,-6.7103E-18,-6.4685E-19,0.04574,-9.0768E-20,0.047306,0,0,0,0,0,0,package://arbot_v1_Beta/meshes/L2.STL,1,1,1,1,0,0,0,0,0,0,package://arbot_v1_Beta/meshes/L2.STL,,link2-1,Origin_J2,Axis_J2,J2,revolute,0,0,0.227,1.5708,0,1.5708,L1,0,0,1,0,0,-3.14,3.14,,,,,,,,
L3,0.1535,-5.5511E-17,0.029543,0,0,0,2.2684,0.0021892,7.3184E-18,1.0677E-18,0.033367,3.0423E-20,0.034764,0,0,0,0,0,0,package://arbot_v1_Beta/meshes/L3.STL,1,1,1,1,0,0,0,0,0,0,package://arbot_v1_Beta/meshes/L3.STL,,link3-1,Origin_J3,Axis_J3,J3,revolute,0.353,0,0,0,0,-0.014038,L2,0,0,1,0,0,-3.14,3.14,,,,,,,,
L4,0.056927,-6.0542E-08,-0.026659,0,0,0,1.2102,0.0010761,6.5693E-09,-0.00015378,0.0055353,-1.2235E-12,0.0061488,0,0,0,0,0,0,package://arbot_v1_Beta/meshes/L4.STL,1,1,1,1,0,0,0,0,0,0,package://arbot_v1_Beta/meshes/L4.STL,,link4-1,Origin_J4,Axis_J4,J4,revolute,0.307,0,0,0,0,0.014038,L3,0,0,1,0,0,-3.14,3.14,,,,,,,,
